EnergyStock [rank=60, symbol=PBR, quantRating=3.19, marketCapInBillions=85.890144, divYield=0.0]
EnergyStock [rank=61, symbol=TTE, quantRating=3.18, marketCapInBillions=148.60242, divYield=0.05119646]
EnergyStock [rank=62, symbol=BP, quantRating=3.18, marketCapInBillions=82.804825, divYield=0.056744926]
EnergyStock [rank=63, symbol=ENB, quantRating=3.17, marketCapInBillions=89.21237, divYield=0.065130316]
EnergyStock [rank=64, symbol=TGS, quantRating=3.16, marketCapInBillions=3.9663248, divYield=0.0]
EnergyStock [rank=65, symbol=CLMT, quantRating=3.14, marketCapInBillions=1.8192283, divYield=0.0]
EnergyStock [rank=66, symbol=KGS, quantRating=3.14, marketCapInBillions=2.6188612, divYield=0.04942602]
EnergyStock [rank=67, symbol=PBR.A, quantRating=3.13, marketCapInBillions=85.890144, divYield=0.0]
EnergyStock [rank=68, symbol=EQNR, quantRating=3.12, marketCapInBillions=70.687546, divYield=0.05102041]
EnergyStock [rank=69, symbol=TRP, quantRating=3.12, marketCapInBillions=49.051632, divYield=0.054396965]
EnergyStock [rank=70, symbol=EOG, quantRating=3.11, marketCapInBillions=70.03441, divYield=0.02955265]
EnergyStock [rank=71, symbol=SU, quantRating=3.11, marketCapInBillions=49.174797, divYield=0.041201234]
EnergyStock [rank=72, symbol=MMLP, quantRating=3.11, marketCapInBillions=0.15920435, divYield=0.005]
EnergyStock [rank=73, symbol=PED, quantRating=3.1, marketCapInBillions=0.081446014, divYield=0.0]
EnergyStock [rank=74, symbol=PBA, quantRating=3.1, marketCapInBillions=24.672161, divYield=0.047063526]
EnergyStock [rank=75, symbol=DNN, quantRating=3.09, marketCapInBillions=1.9526039, divYield=0.0]
EnergyStock [rank=76, symbol=SOC, quantRating=3.09, marketCapInBillions=1.6900133, divYield=0.0]
EnergyStock [rank=77, symbol=E, quantRating=3.08, marketCapInBillions=48.89059, divYield=0.06674955]
EnergyStock [rank=78, symbol=CNQ, quantRating=3.07, marketCapInBillions=75.114784, divYield=0.04287904]
EnergyStock [rank=79, symbol=PAA, quantRating=3.07, marketCapInBillions=11.869307, divYield=0.07206143]
EnergyStock [rank=80, symbol=EPSN, quantRating=3.07, marketCapInBillions=0.132437, divYield=0.04145937]
EnergyStock [rank=81, symbol=LODE, quantRating=3.05, marketCapInBillions=0.08788578, divYield=0.0]
EnergyStock [rank=82, symbol=IMPP, quantRating=3.03, marketCapInBillions=0.11192383, divYield=0.0]
EnergyStock [rank=83, symbol=CLNE, quantRating=3.01, marketCapInBillions=0.6390024, divYield=0.0]
EnergyStock [rank=84, symbol=EQT, quantRating=3.01, marketCapInBillions=22.264183, divYield=0.016808964]
EnergyStock [rank=85, symbol=OXY, quantRating=3.01, marketCapInBillions=48.236397, divYield=0.016285382]
EnergyStock [rank=86, symbol=THNPY, quantRating=2.99, marketCapInBillions=3.8193355, divYield=0.028601155]
EnergyStock [rank=87, symbol=NAT, quantRating=2.99, marketCapInBillions=0.6994681, divYield=0.12537313]
EnergyStock [rank=88, symbol=MPC, quantRating=2.99, marketCapInBillions=50.992462, divYield=0.021659229]
EnergyStock [rank=89, symbol=HAFN, quantRating=2.98, marketCapInBillions=3.177687, divYield=0.19282259]
EnergyStock [rank=90, symbol=SUBCY, quantRating=2.98, marketCapInBillions=4.81418, divYield=0.017535608]
EnergyStock [rank=91, symbol=NOG, quantRating=2.98, marketCapInBillions=3.7204974, divYield=0.04340836]
EnergyStock [rank=92, symbol=CCJ, quantRating=2.97, marketCapInBillions=23.411432, divYield=0.0016415691]
EnergyStock [rank=93, symbol=DLNG, quantRating=2.97, marketCapInBillions=0.14256218, divYield=0.0]
EnergyStock [rank=94, symbol=FANG, quantRating=2.96, marketCapInBillions=54.344624, divYield=0.027009437]
EnergyStock [rank=95, symbol=GLNG, quantRating=2.96, marketCapInBillions=3.9053128, divYield=0.026631158]
EnergyStock [rank=96, symbol=AE, quantRating=2.95, marketCapInBillions=0.06945629, divYield=0.035489835]
EnergyStock [rank=97, symbol=DVN, quantRating=2.95, marketCapInBillions=25.79717, divYield=0.021944374]
EnergyStock [rank=98, symbol=PSX, quantRating=2.95, marketCapInBillions=53.64801, divYield=0.034329407]
EnergyStock [rank=99, symbol=EXE, quantRating=2.94, marketCapInBillions=11.13082, divYield=0.02712584]
EnergyStock [rank=100, symbol=UEC, quantRating=2.94, marketCapInBillions=3.1801672, divYield=0.0]
EnergyStock [rank=101, symbol=VLO, quantRating=2.93, marketCapInBillions=42.418377, divYield=0.03194864]
EnergyStock [rank=102, symbol=MRO, quantRating=2.93, marketCapInBillions=14.801285, divYield=0.016628873]
EnergyStock [rank=103, symbol=SFL, quantRating=2.92, marketCapInBillions=1.4506068, divYield=0.09695291]
EnergyStock [rank=104, symbol=SLB, quantRating=2.91, marketCapInBillions=58.94332, divYield=0.02575467]
EnergyStock [rank=105, symbol=OMVKY, quantRating=2.91, marketCapInBillions=13.768195, divYield=0.073623076]
EnergyStock [rank=106, symbol=APA, quantRating=2.91, marketCapInBillions=9.181039, divYield=0.04029009]
EnergyStock [rank=107, symbol=NOV, quantRating=2.91, marketCapInBillions=6.116403, divYield=0.015903307]
EnergyStock [rank=108, symbol=CVE, quantRating=2.91, marketCapInBillions=30.90914, divYield=0.02789349]
EnergyStock [rank=109, symbol=CMBT, quantRating=2.91, marketCapInBillions=2.9371521, divYield=0.0]
EnergyStock [rank=110, symbol=UUUU, quantRating=2.9, marketCapInBillions=1.1962215, divYield=0.0]
EnergyStock [rank=111, symbol=EGY, quantRating=2.9, marketCapInBillions=0.57681197, divYield=0.044964027]
EnergyStock [rank=112, symbol=PFIE, quantRating=2.89, marketCapInBillions=0.08147616, divYield=0.0]
EnergyStock [rank=113, symbol=ENLC, quantRating=2.89, marketCapInBillions=6.80324, divYield=0.035280216]
EnergyStock [rank=114, symbol=AM, quantRating=2.89, marketCapInBillions=7.2237277, divYield=0.059960026]
EnergyStock [rank=115, symbol=HESM, quantRating=2.88, marketCapInBillions=7.832552, divYield=0.07248661]
EnergyStock [rank=116, symbol=SM, quantRating=2.88, marketCapInBillions=4.9749126, divYield=0.01701932]
EnergyStock [rank=117, symbol=AROC, quantRating=2.88, marketCapInBillions=3.5813065, divYield=0.03190967]
EnergyStock [rank=118, symbol=CRGY, quantRating=2.87, marketCapInBillions=2.877053, divYield=0.03821656]
EnergyStock [rank=119, symbol=BNEFF, quantRating=2.87, marketCapInBillions=0.095885254, divYield=0.0]
EnergyStock [rank=120, symbol=CRK, quantRating=2.87, marketCapInBillions=3.5071278, divYield=0.0]
EnergyStock [rank=121, symbol=NGL, quantRating=2.87, marketCapInBillions=0.56052905, divYield=0.0]
EnergyStock [rank=122, symbol=WTTR, quantRating=2.86, marketCapInBillions=1.3258506, divYield=0.021543987]
EnergyStock [rank=123, symbol=REPYY, quantRating=2.86, marketCapInBillions=15.206761, divYield=0.0753382]
EnergyStock [rank=124, symbol=ARLP, quantRating=2.86, marketCapInBillions=3.2822285, divYield=0.10924698]
EnergyStock [rank=125, symbol=OII, quantRating=2.84, marketCapInBillions=2.5806732, divYield=0.0]
EnergyStock [rank=126, symbol=AETUF, quantRating=2.83, marketCapInBillions=10.243241, divYield=0.02907151]
EnergyStock [rank=127, symbol=TS, quantRating=2.83, marketCapInBillions=17.732857, divYield=0.03731343]
EnergyStock [rank=128, symbol=HES, quantRating=2.82, marketCapInBillions=42.3851, divYield=0.013132155]
EnergyStock [rank=129, symbol=CTRA, quantRating=2.82, marketCapInBillions=17.631695, divYield=0.03480084]
EnergyStock [rank=130, symbol=MTDR, quantRating=2.81, marketCapInBillions=6.46697, divYield=0.015435076]
EnergyStock [rank=131, symbol=ASC, quantRating=2.81, marketCapInBillions=0.6192567, divYield=0.07162163]
EnergyStock [rank=132, symbol=HNRG, quantRating=2.81, marketCapInBillions=0.43833402, divYield=0.0]
EnergyStock [rank=133, symbol=REI, quantRating=2.81, marketCapInBillions=0.2992403, divYield=0.0]
EnergyStock [rank=134, symbol=DHT, quantRating=2.81, marketCapInBillions=1.705065, divYield=0.09185606]
EnergyStock [rank=135, symbol=RNGR, quantRating=2.81, marketCapInBillions=0.2740046, divYield=0.016220601]
EnergyStock [rank=136, symbol=GLP, quantRating=2.8, marketCapInBillions=1.5954616, divYield=0.06004693]
EnergyStock [rank=137, symbol=PUMP, quantRating=2.8, marketCapInBillions=0.8072569, divYield=0.0]
EnergyStock [rank=138, symbol=PEYUF, quantRating=2.8, marketCapInBillions=2.2013924, divYield=0.08679387]
EnergyStock [rank=139, symbol=RRC, quantRating=2.79, marketCapInBillions=7.5591345, divYield=0.010213853]
EnergyStock [rank=140, symbol=GPRK, quantRating=2.79, marketCapInBillions=0.4118584, divYield=0.070062116]
EnergyStock [rank=141, symbol=GRNT, quantRating=2.79, marketCapInBillions=0.779234, divYield=0.0738255]
EnergyStock [rank=142, symbol=OVV, quantRating=2.78, marketCapInBillions=10.514504, divYield=0.029710324]
EnergyStock [rank=143, symbol=FRO, quantRating=2.77, marketCapInBillions=4.503661, divYield=0.09441423]
EnergyStock [rank=144, symbol=BTE, quantRating=2.77, marketCapInBillions=2.3285332, divYield=0.022323232]
EnergyStock [rank=145, symbol=SD, quantRating=2.77, marketCapInBillions=0.4180571, divYield=0.038188275]
EnergyStock [rank=146, symbol=GFR, quantRating=2.76, marketCapInBillions=0.49172652, divYield=0.0]
EnergyStock [rank=147, symbol=VTS, quantRating=2.76, marketCapInBillions=0.7402755, divYield=0.08170586]
EnergyStock [rank=148, symbol=REPX, quantRating=2.76, marketCapInBillions=0.5767071, divYield=0.054620273]
EnergyStock [rank=149, symbol=ECO, quantRating=2.76, marketCapInBillions=0.92265475, divYield=0.11931034]
EnergyStock [rank=150, symbol=NINE, quantRating=2.74, marketCapInBillions=0.038368, divYield=0.0]
EnergyStock [rank=151, symbol=EU, quantRating=2.74, marketCapInBillions=0.7499632, divYield=0.0]
EnergyStock [rank=152, symbol=HAL, quantRating=2.74, marketCapInBillions=24.939905, divYield=0.023716815]
EnergyStock [rank=153, symbol=TNK, quantRating=2.73, marketCapInBillions=1.7185, divYield=0.019992003]
EnergyStock [rank=154, symbol=CRC, quantRating=2.73, marketCapInBillions=4.6777864, divYield=0.02512395]
EnergyStock [rank=155, symbol=AESI, quantRating=2.73, marketCapInBillions=2.2006974, divYield=0.037943084]
EnergyStock [rank=156, symbol=CVI, quantRating=2.73, marketCapInBillions=2.3876016, divYield=0.08421053]
EnergyStock [rank=157, symbol=TALO, quantRating=2.72, marketCapInBillions=1.8880124, divYield=0.0]
EnergyStock [rank=158, symbol=DINO, quantRating=2.72, marketCapInBillions=8.2070265, divYield=0.04533829]
EnergyStock [rank=159, symbol=PHX, quantRating=2.72, marketCapInBillions=0.13836753, divYield=0.035230353]
EnergyStock [rank=160, symbol=EC, quantRating=2.72, marketCapInBillions=16.47098, divYield=0.0]
EnergyStock [rank=161, symbol=KRP, quantRating=2.72, marketCapInBillions=1.5298102, divYield=0.11548065]
EnergyStock [rank=162, symbol=KNOP, quantRating=2.72, marketCapInBillions=0.2218548, divYield=0.016377954]
EnergyStock [rank=163, symbol=FCUUF, quantRating=2.72, marketCapInBillions=0.698295, divYield=0.0]
EnergyStock [rank=164, symbol=NE, quantRating=2.71, marketCapInBillions=5.198275, divYield=0.052436765]
EnergyStock [rank=165, symbol=AR, quantRating=2.71, marketCapInBillions=8.627335, divYield=0.0]
EnergyStock [rank=166, symbol=DKL, quantRating=2.7, marketCapInBillions=2.0046098, divYield=0.10934292]
EnergyStock [rank=167, symbol=DEC, quantRating=2.7, marketCapInBillions=0.58335775, divYield=0.27161017]
EnergyStock [rank=168, symbol=TXO, quantRating=2.7, marketCapInBillions=0.73984075, divYield=0.12045691]
EnergyStock [rank=169, symbol=IPOOF, quantRating=2.7, marketCapInBillions=0.12840101, divYield=0.09293]
EnergyStock [rank=170, symbol=NEXT, quantRating=2.69, marketCapInBillions=1.523114, divYield=0.0]
EnergyStock [rank=171, symbol=URG, quantRating=2.69, marketCapInBillions=0.47121152, divYield=0.0]
EnergyStock [rank=172, symbol=INSW, quantRating=2.69, marketCapInBillions=2.2581174, divYield=0.010563381]
EnergyStock [rank=173, symbol=LBRT, quantRating=2.68, marketCapInBillions=2.926775, divYield=0.015633725]
EnergyStock [rank=174, symbol=VET, quantRating=2.68, marketCapInBillions=1.5415455, divYield=0.03434476]
EnergyStock [rank=175, symbol=TOPS, quantRating=2.67, marketCapInBillions=0.040405203, divYield=0.0]
EnergyStock [rank=176, symbol=BSM, quantRating=2.66, marketCapInBillions=3.143483, divYield=0.11394102]
EnergyStock [rank=177, symbol=VAL, quantRating=2.65, marketCapInBillions=3.701556, divYield=0.0]
EnergyStock [rank=178, symbol=HPK, quantRating=2.65, marketCapInBillions=1.828213, divYield=0.010076442]
EnergyStock [rank=179, symbol=STR, quantRating=2.64, marketCapInBillions=3.4430044, divYield=0.0766129]
